State_Code;Surface;Population
AL;131171;4903185
AK;1481305;731545
AZ;294207;7278717
AR;134771;3017804
CA;403466;39512223
NC;125920;10488084
SC;77857;5148714
CO;268431;5758736
CT;12542;3565287
ND;169752;762062
SD;196350;884659
DE;5047;973764
FL;138887;21477737
GA;148859;10617423
HI;16635;1415872
ID;214045;1787065
IL;143793;12671821
IN;92789;6732219
IA;144669;3155070
KS;211754;2913314
KY;102269;4467673
LA;111898;4648794
ME;79883;1344212
MD;25142;6045680
MA;20202;6892503
MI;146435;9986857
MN;206232;5639632
MS;121531;2976149
MO;178040;6137428
MT;376962;1068778
NE;198974;1934408
NV;284332;3080156
NH;23187;1359711
NJ;19047;8882190
NY;122057;19453561
NM;314161;2096829
OH;105829;11689100
OK;177660;3956971
OR;248608;4217737
PA;115883;12801989
RI;2678;1059361
TN;106798;6829174
TX;676587;28995881
UT;212818;3205958
VT;23871;623989
VA;102279;8535519
WV;62259;1792147
WA;172119;7614893
WI;140268;5822434
WY;251470;578759
